name,positions,body_type,short_passing,dribbling,long_passing,ball_control,agility,reactions,balance,stamina,interceptions,positioning,vision,composure,marking,standing_tackle
I. Rakitić,"CM,CDM",Lean,0.9117647058823528,0.8461538461538463,0.9589041095890412,0.857142857142857,0.704225352112676,0.7719298245614035,0.6164383561643836,0.7971014492753623,0.8589743589743588,0.8846153846153846,0.902439024390244,0.8548387096774193,0.7857142857142856,0.7777777777777777
J. Vertonghen,CB,Normal,0.7941176470588236,0.7051282051282051,0.7397260273972603,0.7428571428571427,0.5352112676056338,0.8596491228070176,0.5342465753424657,0.681159420289855,0.9615384615384616,0.6282051282051282,0.6829268292682927,0.8064516129032258,0.9404761904761904,0.9259259259259258
T. Alderweireld,CB,Normal,0.7941176470588236,0.5897435897435896,0.8904109589041096,0.7142857142857142,0.5211267605633803,0.912280701754386,0.3972602739726027,0.6956521739130435,0.935897435897436,0.6025641025641026,0.6707317073170732,0.8225806451612903,0.9523809523809524,0.9753086419753084
Casemiro,CDM,Normal,0.8529411764705881,0.6794871794871795,0.8493150684931507,0.7571428571428571,0.5492957746478874,0.8771929824561402,0.6164383561643836,0.855072463768116,0.9230769230769228,0.7435897435897436,0.7926829268292683,0.8225806451612903,0.8809523809523809,0.9259259259259258
Fabinho,CDM,Lean,0.8529411764705881,0.7692307692307692,0.821917808219178,0.8142857142857143,0.647887323943662,0.8245614035087718,0.6301369863013697,0.927536231884058,0.8974358974358974,0.7564102564102564,0.7926829268292683,0.8225806451612903,0.8809523809523809,0.91358024691358
William Carvalho,"CDM,CM",Normal,0.8235294117647058,0.7948717948717949,0.8767123287671232,0.7857142857142856,0.3943661971830986,0.6842105263157894,0.4109589041095889,0.826086956521739,0.8589743589743588,0.6794871794871795,0.8414634146341463,0.903225806451613,0.8571428571428571,0.8765432098765431
L. Goretzka,"CM,CAM,CDM",Lean,0.8676470588235294,0.8333333333333333,0.8082191780821917,0.8285714285714285,0.7464788732394367,0.8421052631578947,0.6712328767123288,0.8405797101449275,0.8717948717948718,0.8717948717948718,0.8536585365853658,0.7580645161290323,0.738095238095238,0.7901234567901234
A. Rabiot,"CM,CDM",Lean,0.8823529411764706,0.8076923076923077,0.8630136986301369,0.8285714285714285,0.7887323943661972,0.8245614035087718,0.6986301369863013,0.7826086956521738,0.846153846153846,0.8333333333333333,0.8292682926829268,0.8225806451612903,0.7142857142857142,0.8518518518518519
Fabián,"CM,CDM,CAM",Lean,0.8088235294117647,0.858974358974359,0.821917808219178,0.8285714285714285,0.704225352112676,0.7543859649122806,0.6164383561643836,0.681159420289855,0.8076923076923076,0.8846153846153846,0.8780487804878049,0.7096774193548387,0.7142857142857142,0.8148148148148148
Rodri,"CM,CDM",Lean,0.8676470588235294,0.7820512820512819,0.821917808219178,0.8142857142857143,0.647887323943662,0.7719298245614035,0.6986301369863013,0.7826086956521738,0.8589743589743588,0.8205128205128205,0.8658536585365854,0.8064516129032258,0.7261904761904762,0.8271604938271604
M. Parolo,"CDM,CM",Lean,0.8088235294117647,0.7564102564102564,0.8630136986301369,0.7714285714285714,0.619718309859155,0.8070175438596492,0.6849315068493149,0.8695652173913044,0.846153846153846,0.9102564102564104,0.8048780487804879,0.7258064516129032,0.8095238095238094,0.8395061728395061
J. Henderson,"CDM,CM",Normal,0.8676470588235294,0.7307692307692308,0.8767123287671232,0.7857142857142856,0.6338028169014085,0.7719298245614035,0.6712328767123288,0.9130434782608696,0.846153846153846,0.8205128205128205,0.8658536585365854,0.7258064516129032,0.7976190476190476,0.8271604938271604
G. Kondogbia,"CM,CDM",Lean,0.8235294117647058,0.7948717948717949,0.8082191780821917,0.8285714285714285,0.7464788732394367,0.8245614035087718,0.6301369863013697,0.7246376811594202,0.8333333333333333,0.846153846153846,0.8170731707317074,0.7903225806451613,0.8095238095238094,0.8641975308641976
C. Kramer,"CDM,CM",Lean,0.8088235294117647,0.7051282051282051,0.7123287671232876,0.7999999999999998,0.6056338028169014,0.8596491228070176,0.4520547945205479,0.9420289855072465,0.8589743589743588,0.7564102564102564,0.7439024390243902,0.7258064516129032,0.8333333333333333,0.8395061728395061
J. Guilavogui,"CDM,CM",Lean,0.7794117647058822,0.6025641025641026,0.7534246575342465,0.7,0.4225352112676056,0.7543859649122806,0.3972602739726027,0.7101449275362319,0.8846153846153846,0.641025641025641,0.6707317073170732,0.6774193548387097,0.8333333333333333,0.8641975308641976
L. Perrin,CB,Normal,0.7205882352941175,0.5897435897435896,0.7808219178082192,0.6857142857142857,0.5633802816901409,0.7017543859649122,0.6986301369863013,0.6231884057971013,0.8846153846153846,0.6025641025641026,0.6219512195121951,0.7580645161290323,0.7976190476190476,0.8888888888888888
J. Hector,"LB,CDM",Normal,0.7794117647058822,0.7435897435897436,0.7397260273972603,0.7428571428571427,0.619718309859155,0.7719298245614035,0.6301369863013697,0.7826086956521738,0.8589743589743588,0.6538461538461537,0.7317073170731707,0.7258064516129032,0.7857142857142856,0.8271604938271604
L. Dendoncker,"CDM,CB,CM",Normal,0.7941176470588236,0.6794871794871795,0.7945205479452053,0.7,0.5070422535211268,0.6491228070175439,0.5068493150684932,0.8840579710144927,0.8205128205128205,0.7692307692307692,0.7804878048780488,0.6774193548387097,0.7857142857142856,0.8148148148148148
R. Zobnin,"CDM,CM,LM",Lean,0.8235294117647058,0.8461538461538463,0.8082191780821917,0.8142857142857143,0.6619718309859155,0.7543859649122806,0.6027397260273972,0.8985507246376812,0.7820512820512819,0.6794871794871795,0.7317073170731707,0.7096774193548387,0.8452380952380951,0.8271604938271604
I. Marcone,CDM,Normal,0.8088235294117647,0.6794871794871795,0.8630136986301369,0.6857142857142857,0.5211267605633803,0.7543859649122806,0.5342465753424657,0.8405797101449275,0.7948717948717948,0.5769230769230769,0.6951219512195123,0.6935483870967742,0.7619047619047619,0.8395061728395061
B. Schweinsteiger,"CDM,CB,CM",Normal,0.838235294117647,0.7051282051282051,0.8630136986301369,0.7571428571428571,0.5352112676056338,0.7894736842105263,0.5753424657534245,0.5652173913043478,0.7564102564102564,0.7948717948717949,0.8414634146341463,0.8709677419354838,0.7857142857142856,0.7407407407407407
W. Barrios,"CDM,CM",Lean,0.7794117647058822,0.641025641025641,0.6164383561643836,0.6285714285714286,0.732394366197183,0.7192982456140351,0.7123287671232876,0.9420289855072465,0.846153846153846,0.6282051282051282,0.6463414634146342,0.6935483870967742,0.8928571428571428,0.8518518518518519
J. Baumgartlinger,CDM,Normal,0.8235294117647058,0.6282051282051282,0.6986301369863013,0.7,0.5915492957746479,0.6666666666666667,0.5890410958904109,0.8695652173913044,0.8076923076923076,0.6538461538461537,0.6341463414634146,0.6774193548387097,0.8214285714285714,0.8395061728395061
M. Elneny,"CDM,CM",Lean,0.7794117647058822,0.6666666666666667,0.7808219178082192,0.7285714285714284,0.5915492957746479,0.6842105263157894,0.5616438356164384,0.927536231884058,0.7948717948717948,0.6666666666666667,0.7073170731707317,0.7096774193548387,0.7857142857142856,0.7654320987654321
J. Kucka,"CM,CDM",Normal,0.75,0.7564102564102564,0.7671232876712328,0.7142857142857142,0.6901408450704225,0.7543859649122806,0.4520547945205479,0.855072463768116,0.8205128205128205,0.7948717948717949,0.7073170731707317,0.6774193548387097,0.7976190476190476,0.8024691358024691
B. André,"CM,CDM",Normal,0.8088235294117647,0.7564102564102564,0.8082191780821917,0.7285714285714284,0.704225352112676,0.7017543859649122,0.6986301369863013,0.8115942028985508,0.7564102564102564,0.7564102564102564,0.7804878048780488,0.6935483870967742,0.7619047619047619,0.8148148148148148
B. Džemaili,"CM,CAM",Normal,0.7794117647058822,0.7820512820512819,0.7397260273972603,0.7571428571428571,0.6338028169014085,0.7543859649122806,0.6438356164383561,0.7101449275362319,0.7051282051282051,0.846153846153846,0.7926829268292683,0.7419354838709677,0.8095238095238094,0.7160493827160493
V. Behrami,"CDM,CM",Normal,0.7205882352941175,0.6923076923076923,0.7123287671232876,0.7,0.6619718309859155,0.631578947368421,0.6575342465753424,0.6521739130434783,0.7692307692307692,0.7051282051282051,0.7073170731707317,0.6935483870967742,0.738095238095238,0.8148148148148148
M. Noble,"CM,CDM",Normal,0.7647058823529411,0.7435897435897436,0.8082191780821917,0.7285714285714284,0.5492957746478874,0.6491228070175439,0.6986301369863013,0.7246376811594202,0.7564102564102564,0.6794871794871795,0.8048780487804879,0.7096774193548387,0.7261904761904762,0.7654320987654321
N. Vukčević,"CDM,CM",Normal,0.7647058823529411,0.7051282051282051,0.684931506849315,0.7,0.5352112676056338,0.6491228070175439,0.5342465753424657,0.6956521739130435,0.846153846153846,0.6282051282051282,0.6707317073170732,0.6935483870967742,0.7738095238095237,0.7777777777777777
A. Hutchinson,"CDM,CM",Lean,0.838235294117647,0.7307692307692308,0.7397260273972603,0.6714285714285713,0.5633802816901409,0.7017543859649122,0.5616438356164384,0.7246376811594202,0.7820512820512819,0.6794871794871795,0.6463414634146342,0.7903225806451613,0.7619047619047619,0.8024691358024691
D. Stephens,"CM,CDM",Lean,0.7941176470588236,0.6794871794871795,0.7671232876712328,0.6857142857142857,0.6056338028169014,0.7192982456140351,0.6027397260273972,0.8405797101449275,0.8205128205128205,0.6923076923076923,0.7560975609756098,0.7258064516129032,0.6785714285714285,0.7777777777777777
M. Grujić,"CDM,CM",Normal,0.7794117647058822,0.8076923076923077,0.7397260273972603,0.7571428571428571,0.6338028169014085,0.6842105263157894,0.4246575342465753,0.681159420289855,0.7307692307692307,0.8205128205128205,0.7926829268292683,0.8064516129032258,0.7023809523809523,0.7654320987654321
A. Diawara,"CM,CDM",Lean,0.8088235294117647,0.7692307692307692,0.7671232876712328,0.7857142857142856,0.7746478873239437,0.6491228070175439,0.6575342465753424,0.7246376811594202,0.7692307692307692,0.5512820512820513,0.8048780487804879,0.6774193548387097,0.7499999999999999,0.7654320987654321
F. Valverde,"CM,LM,CAM",Normal,0.8088235294117647,0.7051282051282051,0.8630136986301369,0.7,0.6338028169014085,0.6491228070175439,0.6164383561643836,0.6086956521739131,0.6923076923076923,0.6794871794871795,0.8048780487804879,0.7580645161290323,0.7142857142857142,0.691358024691358
Thiago Maia,"CDM,CM",Normal,0.7647058823529411,0.6923076923076923,0.726027397260274,0.7,0.5211267605633803,0.6666666666666667,0.5890410958904109,0.681159420289855,0.7692307692307692,0.641025641025641,0.6463414634146342,0.6774193548387097,0.7142857142857142,0.8148148148148148
A. Duncan,CM,Stocky,0.7941176470588236,0.7051282051282051,0.7397260273972603,0.7,0.704225352112676,0.7192982456140351,0.6712328767123288,0.7536231884057971,0.8333333333333333,0.7307692307692308,0.6707317073170732,0.6935483870967742,0.7499999999999999,0.8271604938271604
P. Schwegler,"CDM,CM",Normal,0.7647058823529411,0.7179487179487178,0.7945205479452053,0.7142857142857142,0.6901408450704225,0.7017543859649122,0.6986301369863013,0.5797101449275363,0.7820512820512819,0.7307692307692308,0.7804878048780488,0.7741935483870968,0.8214285714285714,0.7530864197530864
A. Surman,"CM,CDM",Lean,0.838235294117647,0.6538461538461537,0.7808219178082192,0.7428571428571427,0.5070422535211268,0.6842105263157894,0.6986301369863013,0.6376811594202898,0.6666666666666666,0.7051282051282051,0.8048780487804879,0.6935483870967742,0.6666666666666666,0.691358024691358
W. Janssen,CB,Normal,0.7058823529411764,0.6666666666666667,0.7397260273972603,0.6428571428571428,0.5774647887323944,0.5964912280701753,0.5890410958904109,0.6521739130434783,0.8205128205128205,0.6282051282051282,0.6585365853658537,0.6774193548387097,0.7619047619047619,0.6790123456790123
K. McDonald,"CDM,CM",Normal,0.7352941176470589,0.641025641025641,0.6986301369863013,0.7,0.4225352112676056,0.6666666666666667,0.547945205479452,0.6086956521739131,0.7564102564102564,0.6282051282051282,0.6829268292682927,0.7258064516129032,0.7619047619047619,0.7777777777777777
A. Clayton,"CDM,CM",Normal,0.7205882352941175,0.6538461538461537,0.726027397260274,0.6428571428571428,0.6056338028169014,0.6140350877192982,0.6575342465753424,0.6956521739130435,0.7692307692307692,0.5641025641025641,0.6585365853658537,0.6774193548387097,0.7142857142857142,0.7530864197530864
N. Acevedo,"CM,CDM",Stocky,0.7352941176470589,0.6666666666666667,0.6986301369863013,0.6857142857142857,0.619718309859155,0.7368421052631577,0.547945205479452,0.927536231884058,0.7179487179487178,0.6923076923076923,0.6341463414634146,0.6774193548387097,0.7023809523809523,0.8148148148148148
F. Rinaudo,"CM,CDM,CB",Normal,0.7647058823529411,0.6794871794871795,0.7671232876712328,0.6428571428571428,0.676056338028169,0.6666666666666667,0.6986301369863013,0.681159420289855,0.8076923076923076,0.6282051282051282,0.6341463414634146,0.6935483870967742,0.7261904761904762,0.7654320987654321
B. Hämäläinen,"CB,LB",Normal,0.7058823529411764,0.6538461538461537,0.7534246575342465,0.6285714285714286,0.619718309859155,0.5964912280701753,0.7123287671232876,0.6666666666666667,0.6923076923076923,0.7179487179487178,0.7439024390243902,0.6774193548387097,0.6547619047619047,0.728395061728395
G. Gillet,"CDM,CM",Normal,0.6470588235294117,0.641025641025641,0.6575342465753424,0.657142857142857,0.5211267605633803,0.6140350877192982,0.4520547945205479,0.6521739130434783,0.7435897435897435,0.8076923076923077,0.7073170731707317,0.6774193548387097,0.7023809523809523,0.6790123456790123
C. Moritz,"CM,CDM",Lean,0.6764705882352942,0.7051282051282051,0.6575342465753424,0.6714285714285713,0.732394366197183,0.6491228070175439,0.6164383561643836,0.8115942028985508,0.7820512820512819,0.6923076923076923,0.7073170731707317,0.6774193548387097,0.7499999999999999,0.7037037037037037
S. Wuytens,CB,Normal,0.75,0.6025641025641026,0.7671232876712328,0.6857142857142857,0.619718309859155,0.6140350877192982,0.6301369863013697,0.7681159420289856,0.7564102564102564,0.6025641025641026,0.7317073170731707,0.6774193548387097,0.7619047619047619,0.7160493827160493
I. Damonte,"CM,CDM",Normal,0.6617647058823528,0.6923076923076923,0.6986301369863013,0.6857142857142857,0.647887323943662,0.6491228070175439,0.6575342465753424,0.6666666666666667,0.7435897435897435,0.7435897435897436,0.6951219512195123,0.6774193548387097,0.7261904761904762,0.691358024691358
Stephen Eustáquio,"CDM,CM",Lean,0.75,0.7051282051282051,0.726027397260274,0.6714285714285713,0.6619718309859155,0.6491228070175439,0.7123287671232876,0.7681159420289856,0.7435897435897435,0.6282051282051282,0.7317073170731707,0.6774193548387097,0.6785714285714285,0.7407407407407407
W. Trapp,CDM,Normal,0.7794117647058822,0.6538461538461537,0.7945205479452053,0.7,0.619718309859155,0.7017543859649122,0.6849315068493149,0.7246376811594202,0.6666666666666666,0.5641025641025641,0.6951219512195123,0.6774193548387097,0.6666666666666666,0.7037037037037037
M. Abeid,"CDM,CM",Stocky,0.75,0.7820512820512819,0.7397260273972603,0.7142857142857142,0.619718309859155,0.6140350877192982,0.6986301369863013,0.6086956521739131,0.7051282051282051,0.7179487179487178,0.6829268292682927,0.6935483870967742,0.7142857142857142,0.7037037037037037
O. Tufan,"CDM,CM",Normal,0.7058823529411764,0.7179487179487178,0.7123287671232876,0.6857142857142857,0.7464788732394367,0.5964912280701753,0.6575342465753424,0.6666666666666667,0.7692307692307692,0.8076923076923077,0.6707317073170732,0.6935483870967742,0.7142857142857142,0.7407407407407407
S. Lukić,"CDM,CM",Lean,0.8088235294117647,0.7820512820512819,0.7534246575342465,0.7999999999999998,0.619718309859155,0.5964912280701753,0.7123287671232876,0.5942028985507246,0.6794871794871794,0.6025641025641026,0.7439024390243902,0.6935483870967742,0.6666666666666666,0.7407407407407407
J. Johansson,"CM,CDM",Normal,0.7647058823529411,0.6282051282051282,0.684931506849315,0.6285714285714286,0.3802816901408451,0.6140350877192982,0.3698630136986301,0.855072463768116,0.7692307692307692,0.7179487179487178,0.6829268292682927,0.6935483870967742,0.738095238095238,0.8395061728395061
J. Livermore,"CM,CDM",Stocky,0.7647058823529411,0.6538461538461537,0.726027397260274,0.7,0.5915492957746479,0.6666666666666667,0.6986301369863013,0.8115942028985508,0.7435897435897435,0.641025641025641,0.6707317073170732,0.7258064516129032,0.7857142857142856,0.7407407407407407
Mikel Rico,CM,Lean,0.7058823529411764,0.5897435897435896,0.726027397260274,0.6428571428571428,0.6338028169014085,0.7719298245614035,0.7123287671232876,0.7391304347826086,0.8205128205128205,0.7435897435897436,0.7804878048780488,0.7419354838709677,0.7023809523809523,0.8024691358024691
D. Brasanac,"CM,RM,CDM",Normal,0.75,0.6282051282051282,0.7534246575342465,0.7,0.5070422535211268,0.7543859649122806,0.6301369863013697,0.6376811594202898,0.6923076923076923,0.8333333333333333,0.7439024390243902,0.7096774193548387,0.738095238095238,0.7407407407407407
D. Gosling,CM,Normal,0.7794117647058822,0.6794871794871795,0.7123287671232876,0.6857142857142857,0.5492957746478874,0.5964912280701753,0.6712328767123288,0.6521739130434783,0.7564102564102564,0.8205128205128205,0.7439024390243902,0.7096774193548387,0.7023809523809523,0.7037037037037037
I. Sangaré,"CDM,CM",Lean,0.7058823529411764,0.7051282051282051,0.726027397260274,0.7,0.6056338028169014,0.631578947368421,0.6575342465753424,0.7246376811594202,0.7564102564102564,0.7820512820512819,0.7195121951219512,0.7258064516129032,0.738095238095238,0.728395061728395
Edvaldisco,"CDM,CM,CAM",Lean,0.6911764705882353,0.7051282051282051,0.7397260273972603,0.6857142857142857,0.5352112676056338,0.7894736842105263,0.5616438356164384,0.826086956521739,0.6794871794871794,0.7051282051282051,0.7804878048780488,0.7741935483870968,0.7619047619047619,0.8024691358024691
J. van der Heijden,CB,Normal,0.75,0.6794871794871795,0.7808219178082192,0.7142857142857142,0.5211267605633803,0.6666666666666667,0.5753424657534245,0.6376811594202898,0.7820512820512819,0.6923076923076923,0.7317073170731707,0.7580645161290323,0.7738095238095237,0.7777777777777777
B. Zungu,"CDM,CM",Normal,0.7352941176470589,0.7692307692307692,0.726027397260274,0.7428571428571427,0.6338028169014085,0.6491228070175439,0.6164383561643836,0.7826086956521738,0.7307692307692307,0.7179487179487178,0.7317073170731707,0.6774193548387097,0.6785714285714285,0.7407407407407407
C. Coady,CB,Normal,0.7647058823529411,0.5769230769230769,0.8082191780821917,0.6285714285714286,0.352112676056338,0.7192982456140351,0.4246575342465753,0.6666666666666667,0.7948717948717948,0.5641025641025641,0.7195121951219512,0.7096774193548387,0.8214285714285714,0.7654320987654321
M. Bešić,"CDM,CM",Normal,0.75,0.7051282051282051,0.684931506849315,0.7285714285714284,0.704225352112676,0.631578947368421,0.7123287671232876,0.5942028985507246,0.6923076923076923,0.6153846153846154,0.6829268292682927,0.6935483870967742,0.7499999999999999,0.7777777777777777
Elias Fontoira,CDM,Lean,0.7058823529411764,0.7435897435897436,0.7397260273972603,0.7142857142857142,0.6056338028169014,0.7017543859649122,0.6575342465753424,0.6666666666666667,0.7820512820512819,0.7051282051282051,0.7926829268292683,0.7903225806451613,0.8333333333333333,0.6790123456790123
Sergio Álvarez,"CDM,CM",Lean,0.7205882352941175,0.6282051282051282,0.7534246575342465,0.6714285714285713,0.6901408450704225,0.6666666666666667,0.5342465753424657,0.8985507246376812,0.7820512820512819,0.7564102564102564,0.7439024390243902,0.7903225806451613,0.6785714285714285,0.7654320987654321
L. González Pirez,CB,Normal,0.6911764705882353,0.6153846153846154,0.7945205479452053,0.6428571428571428,0.5774647887323944,0.6842105263157894,0.4520547945205479,0.7971014492753623,0.7948717948717948,0.6282051282051282,0.6341463414634146,0.6774193548387097,0.7619047619047619,0.7654320987654321
Y. Sankharé,CM,Normal,0.7647058823529411,0.7435897435897436,0.726027397260274,0.7,0.6338028169014085,0.6666666666666667,0.4657534246575341,0.7391304347826086,0.7307692307692307,0.7692307692307692,0.7317073170731707,0.7096774193548387,0.7023809523809523,0.7777777777777777
A. Romao,CDM,Normal,0.6764705882352942,0.6153846153846154,0.6575342465753424,0.657142857142857,0.619718309859155,0.7192982456140351,0.6712328767123288,0.6956521739130435,0.8205128205128205,0.5641025641025641,0.7073170731707317,0.7096774193548387,0.6904761904761905,0.8148148148148148
L. Rigoni,"CM,CDM",Lean,0.7794117647058822,0.6923076923076923,0.7671232876712328,0.7142857142857142,0.5492957746478874,0.6842105263157894,0.5068493150684932,0.6666666666666667,0.7564102564102564,0.7564102564102564,0.7439024390243902,0.6935483870967742,0.7023809523809523,0.7654320987654321
J. Kurtić,"CM,CAM,CF",Normal,0.7647058823529411,0.7051282051282051,0.7534246575342465,0.7142857142857142,0.5915492957746479,0.6666666666666667,0.5616438356164384,0.681159420289855,0.7820512820512819,0.8076923076923077,0.7317073170731707,0.6774193548387097,0.6547619047619047,0.7777777777777777
